FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,NATIONALITY,Nazionalità,OUTCOME_CALL,Esito della telefonata,TIME_PERIOD,Osservazione,OBS_STATUS
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,112_REQUIRED,Richiesto intervento del 112,2023,13,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,112_REQUIRED,Richiesto intervento del 112,2024,35,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,113_REQUIRED,Richiesto  intervento 113,2017,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,113_REQUIRED,Richiesto  intervento 113,2018,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,113_REQUIRED,Richiesto  intervento 113,2019,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,113_REQUIRED,Richiesto  intervento 113,2020,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,113_REQUIRED,Richiesto  intervento 113,2023,14,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,113_REQUIRED,Richiesto  intervento 113,2024,36,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TOT_EMERG,Totale chiamate in emergenza,2017,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TOT_EMERG,Totale chiamate in emergenza,2018,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TOT_EMERG,Totale chiamate in emergenza,2019,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TOT_EMERG,Totale chiamate in emergenza,2020,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TOT_EMERG,Totale chiamate in emergenza,2023,15,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TOT_EMERG,Totale chiamate in emergenza,2024,38,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TRANSF_SER,Trasferito servizio,2015,1286,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TRANSF_SER,Trasferito servizio,2016,1036,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TRANSF_SER,Trasferito servizio,2017,1052,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TRANSF_SER,Trasferito servizio,2018,836,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TRANSF_SER,Trasferito servizio,2019,847,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TRANSF_SER,Trasferito servizio,2020,1140,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TRANSF_SER,Trasferito servizio,2021,839,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TRANSF_SER,Trasferito servizio,2022,643,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TRANSF_SER,Trasferito servizio,2023,1657,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TRANSF_SER,Trasferito servizio,2024,2491,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,NOTRANSF_SER,Non trasferito servizio,2015,842,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,NOTRANSF_SER,Non trasferito servizio,2016,586,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,NOTRANSF_SER,Non trasferito servizio,2017,995,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,NOTRANSF_SER,Non trasferito servizio,2018,1645,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,NOTRANSF_SER,Non trasferito servizio,2019,1429,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,NOTRANSF_SER,Non trasferito servizio,2020,2150,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,NOTRANSF_SER,Non trasferito servizio,2021,3050,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,NOTRANSF_SER,Non trasferito servizio,2022,3086,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,NOTRANSF_SER,Non trasferito servizio,2023,4364,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,NOTRANSF_SER,Non trasferito servizio,2024,5615,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,ALL_VAL,Chiamate valide,2015,2128,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,ALL_VAL,Chiamate valide,2016,1622,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,ALL_VAL,Chiamate valide,2017,2047,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,ALL_VAL,Chiamate valide,2018,2481,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,ALL_VAL,Chiamate valide,2019,2276,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,ALL_VAL,Chiamate valide,2020,3290,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,ALL_VAL,Chiamate valide,2021,3889,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,ALL_VAL,Chiamate valide,2022,3729,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,ALL_VAL,Chiamate valide,2023,6021,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,ALL_VAL,Chiamate valide,2024,8106,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,118_REQUIRED,Richiesto intervento del 118,2019,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,118_REQUIRED,Richiesto intervento del 118,2023,8,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,118_REQUIRED,Richiesto intervento del 118,2024,25,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,112_REQUIRED,Richiesto intervento del 112,2015,15,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,112_REQUIRED,Richiesto intervento del 112,2016,6,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,112_REQUIRED,Richiesto intervento del 112,2017,10,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,112_REQUIRED,Richiesto intervento del 112,2018,8,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,112_REQUIRED,Richiesto intervento del 112,2019,9,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,112_REQUIRED,Richiesto intervento del 112,2020,3,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,112_REQUIRED,Richiesto intervento del 112,2022,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,112_REQUIRED,Richiesto intervento del 112,2023,399,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,112_REQUIRED,Richiesto intervento del 112,2024,801,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,113_REQUIRED,Richiesto  intervento 113,2015,9,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,113_REQUIRED,Richiesto  intervento 113,2016,3,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,113_REQUIRED,Richiesto  intervento 113,2017,10,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,113_REQUIRED,Richiesto  intervento 113,2018,7,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,113_REQUIRED,Richiesto  intervento 113,2019,7,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,113_REQUIRED,Richiesto  intervento 113,2020,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,113_REQUIRED,Richiesto  intervento 113,2021,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,113_REQUIRED,Richiesto  intervento 113,2023,447,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,113_REQUIRED,Richiesto  intervento 113,2024,918,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TOT_EMERG,Totale chiamate in emergenza,2015,15,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TOT_EMERG,Totale chiamate in emergenza,2016,6,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TOT_EMERG,Totale chiamate in emergenza,2017,10,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TOT_EMERG,Totale chiamate in emergenza,2018,8,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TOT_EMERG,Totale chiamate in emergenza,2019,11,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TOT_EMERG,Totale chiamate in emergenza,2020,3,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TOT_EMERG,Totale chiamate in emergenza,2021,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TOT_EMERG,Totale chiamate in emergenza,2022,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TOT_EMERG,Totale chiamate in emergenza,2023,455,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,IT,Italia,TOT_EMERG,Totale chiamate in emergenza,2024,951,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,NRP,Non Indicato,NOTRANSF_SER,Non trasferito servizio,2018,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,NRP,Non Indicato,ALL_VAL,Chiamate valide,2018,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2015,13986,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2016,12781,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2017,11550,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2018,13148,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2019,11706,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2020,17822,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2021,16228,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2022,12970,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2023,19359,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2024,27368,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2015,3518,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2016,3163,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2017,3947,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2018,7528,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2019,7240,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2020,10454,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2021,15789,
