FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,NATIONALITY,Nazionalità,KNOWLEDGE_1522,Modalità di conoscenza del 1522,TIME_PERIOD,Osservazione,OBS_STATUS
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PLACEW,Luogo di culto,2023,8,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PLACEW,Luogo di culto,2024,4,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,SCHOOL,Scuola,2023,39,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,SCHOOL,Scuola,2024,43,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PSYC,Psicologo/a psichiatra,2023,214,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PSYC,Psicologo/a psichiatra,2024,133,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,OTHER,Altro,2015,28,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,OTHER,Altro,2016,73,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,OTHER,Altro,2017,69,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,OTHER,Altro,2018,112,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,OTHER,Altro,2019,156,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,OTHER,Altro,2020,239,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,OTHER,Altro,2021,433,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,OTHER,Altro,2022,551,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,OTHER,Altro,2023,816,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,OTHER,Altro,2024,223,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NOKNOW,Non sa/non ricorda,2015,17,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NOKNOW,Non sa/non ricorda,2016,37,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NOKNOW,Non sa/non ricorda,2017,38,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NOKNOW,Non sa/non ricorda,2018,32,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NOKNOW,Non sa/non ricorda,2019,48,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NOKNOW,Non sa/non ricorda,2020,43,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NOKNOW,Non sa/non ricorda,2021,426,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NOKNOW,Non sa/non ricorda,2022,328,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NRP,Non risponde,2015,285,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NRP,Non risponde,2016,221,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NRP,Non risponde,2017,315,
