FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,PURPOSE_CALL,Motivi della chiamata,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,EMERGENCY,Emergenza,2023,83,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,EMERGENCY,Emergenza,2024,41,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2015,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2019,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2020,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2021,12,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2022,15,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2023,1403,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2024,1081,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2015,1021,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2016,986,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2017,918,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2018,926,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2019,897,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2020,1342,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2021,1512,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2022,1135,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2023,1596,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2024,2115,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2015,5331,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2016,5434,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2017,5481,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2018,7054,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2019,6483,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2020,11652,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2021,11795,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2022,9127,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2023,12306,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2024,13495,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_DISCR_SEEK,Richiesta di aiuto per discriminazione,2016,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_DISCR_SEEK,Richiesta di aiuto per discriminazione,2020,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_DISCR_SEEK,Richiesta di aiuto per discriminazione,2021,12,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,VICT_DISCR_SEEK,Richiesta di aiuto per discriminazione,2022,4,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT_VIOL,Segnalazione di un caso di violenza,2015,1550,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT_VIOL,Segnalazione di un caso di violenza,2016,1581,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT_VIOL,Segnalazione di un caso di violenza,2017,1505,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT_VIOL,Segnalazione di un caso di violenza,2018,1415,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT_VIOL,Segnalazione di un caso di violenza,2019,1093,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT_VIOL,Segnalazione di un caso di violenza,2020,2573,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT_VIOL,Segnalazione di un caso di violenza,2021,2879,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT_VIOL,Segnalazione di un caso di violenza,2022,1609,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT_VIOL,Segnalazione di un caso di violenza,2023,2298,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT_VIOL,Segnalazione di un caso di violenza,2024,1980,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,EMERGENCY,Emergenza,2015,180,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,EMERGENCY,Emergenza,2016,123,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,EMERGENCY,Emergenza,2017,181,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,EMERGENCY,Emergenza,2018,207,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,EMERGENCY,Emergenza,2019,174,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,EMERGENCY,Emergenza,2020,132,,
