FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,TYPE_VIOLENCE,Tipo_di_violenza,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEXVIOL,Violenza sessuale,2015,258,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEXVIOL,Violenza sessuale,2016,327,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEXVIOL,Violenza sessuale,2017,493,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEXVIOL,Violenza sessuale,2018,412,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEXVIOL,Violenza sessuale,2019,479,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEXVIOL,Violenza sessuale,2020,1040,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEXVIOL,Violenza sessuale,2021,1406,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEXVIOL,Violenza sessuale,2022,857,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEXVIOL,Violenza sessuale,2023,673,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEXVIOL,Violenza sessuale,2024,598,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,THREATS,Minacce,2015,281,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,THREATS,Minacce,2016,325,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,THREATS,Minacce,2017,337,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,THREATS,Minacce,2018,362,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,THREATS,Minacce,2019,311,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,THREATS,Minacce,2020,482,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,THREATS,Minacce,2021,755,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,THREATS,Minacce,2022,610,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,THREATS,Minacce,2023,119,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,THREATS,Minacce,2024,162,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,HARASS_WORK,Mobbing,2015,24,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,HARASS_WORK,Mobbing,2016,19,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,HARASS_WORK,Mobbing,2017,29,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,HARASS_WORK,Mobbing,2018,28,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,HARASS_WORK,Mobbing,2019,15,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,HARASS_WORK,Mobbing,2020,59,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,HARASS_WORK,Mobbing,2021,74,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,HARASS_WORK,Mobbing,2022,40,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,HARASS_WORK,Mobbing,2023,22,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,HARASS_WORK,Mobbing,2024,29,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TRAFF,Tratta,2021,4,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TRAFF,Tratta,2022,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TRAFF,Tratta,2023,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TRAFF,Tratta,2024,5,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,DIS_SEX_EXPL,Diffusione illecita di immagini o di video sessualmente espliciti,2021,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,DIS_SEX_EXPL,Diffusione illecita di immagini o di video sessualmente espliciti,2023,30,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,DIS_SEX_EXPL,Diffusione illecita di immagini o di video sessualmente espliciti,2024,32,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,EXPLOI_PROST,Sfruttamento della prostituzione,2023,11,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,EXPLOI_PROST,Sfruttamento della prostituzione,2024,12,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHYVIOL,Violenza psicologica,2015,2784,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHYVIOL,Violenza psicologica,2016,2837,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHYVIOL,Violenza psicologica,2017,2732,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHYVIOL,Violenza psicologica,2018,3640,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHYVIOL,Violenza psicologica,2019,3263,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHYVIOL,Violenza psicologica,2020,5134,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHYVIOL,Violenza psicologica,2021,5240,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHYVIOL,Violenza psicologica,2022,3818,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHYVIOL,Violenza psicologica,2023,5267,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHYVIOL,Violenza psicologica,2024,6194,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ECON_VIOL,Violenza economica,2015,139,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ECON_VIOL,Violenza economica,2016,147,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ECON_VIOL,Violenza economica,2017,143,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ECON_VIOL,Violenza economica,2018,122,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ECON_VIOL,Violenza economica,2019,113,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ECON_VIOL,Violenza economica,2020,180,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ECON_VIOL,Violenza economica,2021,147,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ECON_VIOL,Violenza economica,2022,125,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ECON_VIOL,Violenza economica,2023,94,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ECON_VIOL,Violenza economica,2024,125,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,STLK,Atti persecutori/ stalking,2023,1090,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,STLK,Atti persecutori/ stalking,2024,1513,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ONL_VIOL,Violenza digitale,2023,44,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ONL_VIOL,Violenza digitale,2024,25,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,FMARR,Matrimonio forzato,2023,6,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,FMARR,Matrimonio forzato,2024,8,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,OTH,Altro,2023,14,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,OTH,Altro,2024,18,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2015,141,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2016,96,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2017,80,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2018,68,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2019,47,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2020,199,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2021,155,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2022,153,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2023,78,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2024,19,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2015,450,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2016,352,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2017,432,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2018,543,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2019,501,,
