FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y45-54,45-54 anni,2023,2540,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y45-54,45-54 anni,2024,2209,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y55-64,55-64 anni,2015,891,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y55-64,55-64 anni,2016,888,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y55-64,55-64 anni,2017,811,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y55-64,55-64 anni,2018,1006,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y55-64,55-64 anni,2019,859,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y55-64,55-64 anni,2020,1325,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y55-64,55-64 anni,2021,1291,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y55-64,55-64 anni,2022,1074,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y55-64,55-64 anni,2023,962,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y55-64,55-64 anni,2024,820,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_GE65,65 anni e più,2015,687,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_GE65,65 anni e più,2016,714,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_GE65,65 anni e più,2017,639,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_GE65,65 anni e più,2018,768,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_GE65,65 anni e più,2019,611,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_GE65,65 anni e più,2020,1250,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_GE65,65 anni e più,2021,1333,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_GE65,65 anni e più,2022,895,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_GE65,65 anni e più,2023,1431,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_GE65,65 anni e più,2024,1269,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TOTAL,Totale,2015,7770,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TOTAL,Totale,2016,7830,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TOTAL,Totale,2017,7799,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TOTAL,Totale,2018,9341,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TOTAL,Totale,2019,8427,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TOTAL,Totale,2020,15128,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TOTAL,Totale,2021,15720,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TOTAL,Totale,2022,11632,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TOTAL,Totale,2023,14455,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,TOTAL,Totale,2024,16117,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2015,549,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2016,450,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2017,823,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2018,991,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2019,632,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2020,3943,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2021,4247,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2022,1542,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2023,982,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2024,5160,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,NSP,Non indicato,2023,36,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,NSP,Non indicato,2024,18,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y_UN17,Fino a 17 anni,2023,5,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y_UN17,Fino a 17 anni,2024,4,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y18-24,18-24 anni,2023,7,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y18-24,18-24 anni,2024,5,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y25-34,25-34 anni,2021,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y25-34,25-34 anni,2023,8,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y25-34,25-34 anni,2024,5,,
