FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,SEXUAL_ORIENTATION,Orientamento sessuale,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TRANS,Transessuale,2017,10,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TRANS,Transessuale,2018,10,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TRANS,Transessuale,2019,3,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TRANS,Transessuale,2020,46,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TRANS,Transessuale,2021,20,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TRANS,Transessuale,2022,17,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,MISSING,Missing,2023,6657,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,MISSING,Missing,2024,8566,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OTHER,Altro o non indicato,2015,4601,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OTHER,Altro o non indicato,2016,3798,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OTHER,Altro o non indicato,2017,3471,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OTHER,Altro o non indicato,2018,4878,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OTHER,Altro o non indicato,2019,4444,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OTHER,Altro o non indicato,2020,5640,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OTHER,Altro o non indicato,2021,5928,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OTHER,Altro o non indicato,2022,5335,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2015,4626,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2016,3819,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2017,3485,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2018,4894,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2019,4460,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2020,5702,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2021,5976,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2022,5364,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2023,6657,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2024,8566,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2015,2,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2016,2,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2018,2,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2019,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2020,4,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2021,7,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2022,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2020,3,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2021,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,MISSING,Missing,2023,91,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,MISSING,Missing,2024,99,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2015,50,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2016,33,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2017,25,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2018,55,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2019,40,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2020,46,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2021,45,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2022,50,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2015,52,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2016,35,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2017,25,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2018,57,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2019,41,,
