FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,MARITAL_STATUS,Stato civile,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2022,923,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2023,1218,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2024,1356,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2015,3674,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2016,3648,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2017,3457,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2018,4254,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2019,3496,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2020,5908,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2021,5428,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2022,3926,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2023,4906,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2024,5590,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,DIV2,Divorziato da matrimonio/unione civile,2015,307,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,DIV2,Divorziato da matrimonio/unione civile,2016,337,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,DIV2,Divorziato da matrimonio/unione civile,2017,396,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,DIV2,Divorziato da matrimonio/unione civile,2018,459,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,DIV2,Divorziato da matrimonio/unione civile,2019,404,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,DIV2,Divorziato da matrimonio/unione civile,2020,481,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,DIV2,Divorziato da matrimonio/unione civile,2021,417,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,DIV2,Divorziato da matrimonio/unione civile,2022,394,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,DIV2,Divorziato da matrimonio/unione civile,2023,564,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,DIV2,Divorziato da matrimonio/unione civile,2024,669,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WID2,Vedovo da matrimonio/unione civile,2015,298,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WID2,Vedovo da matrimonio/unione civile,2016,278,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WID2,Vedovo da matrimonio/unione civile,2017,263,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WID2,Vedovo da matrimonio/unione civile,2018,289,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WID2,Vedovo da matrimonio/unione civile,2019,237,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WID2,Vedovo da matrimonio/unione civile,2020,480,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WID2,Vedovo da matrimonio/unione civile,2021,450,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WID2,Vedovo da matrimonio/unione civile,2022,326,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WID2,Vedovo da matrimonio/unione civile,2023,350,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WID2,Vedovo da matrimonio/unione civile,2024,392,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non indicato,2015,51,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non indicato,2016,73,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non indicato,2017,71,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non indicato,2018,60,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non indicato,2019,38,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non indicato,2020,1062,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non indicato,2021,1308,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non indicato,2022,554,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non indicato,2023,1112,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non indicato,2024,689,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2015,381,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2016,281,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2017,341,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2018,435,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2019,432,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2020,662,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2021,786,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2022,879,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Totale,2015,7770,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Totale,2016,7830,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Totale,2017,7799,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Totale,2018,9341,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Totale,2019,8427,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Totale,2020,15128,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Totale,2021,15720,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Totale,2022,11632,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Totale,2023,14455,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Totale,2024,16117,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,SIN,Celibe/nubile,2023,33,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,SIN,Celibe/nubile,2024,18,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2023,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2024,4,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2023,28,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2024,15,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,DIV2,Divorziato da matrimonio/unione civile,2023,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,NRP,Non indicato,2023,46,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,NRP,Non indicato,2024,30,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2015,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2019,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2020,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2021,12,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2022,15,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2023,1292,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2024,1014,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Totale,2015,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Totale,2019,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Totale,2020,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Totale,2021,12,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Totale,2022,15,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Totale,2023,1403,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Totale,2024,1081,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SIN,Celibe/nubile,2015,2365,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SIN,Celibe/nubile,2016,2505,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SIN,Celibe/nubile,2017,2578,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SIN,Celibe/nubile,2018,3027,,
