FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPES_USERS,Tipologia di utenza,SEX,Sesso,NATIONALITY,Nazionalità,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,F,Femmine,WORLD,Mondo,2022,930,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,F,Femmine,WORLD,Mondo,2023,3033,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,F,Femmine,WORLD,Mondo,2024,4209,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,NRP,Non indicato,WORLD,Mondo,2023,198,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,NRP,Non indicato,WORLD,Mondo,2024,226,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,T,Totale,WORLD,Mondo,2015,1841,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,T,Totale,WORLD,Mondo,2016,1539,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,T,Totale,WORLD,Mondo,2017,1107,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,T,Totale,WORLD,Mondo,2018,1139,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,T,Totale,WORLD,Mondo,2019,771,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,T,Totale,WORLD,Mondo,2020,1392,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,T,Totale,WORLD,Mondo,2021,1861,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,T,Totale,WORLD,Mondo,2022,1155,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,T,Totale,WORLD,Mondo,2023,4209,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,FRIEND_ACQU,Da parenti/amici/conoscenti,T,Totale,WORLD,Mondo,2024,5741,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,M,Maschi,WORLD,Mondo,2015,57,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,M,Maschi,WORLD,Mondo,2016,32,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,M,Maschi,WORLD,Mondo,2017,46,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,M,Maschi,WORLD,Mondo,2018,37,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,M,Maschi,WORLD,Mondo,2019,37,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,M,Maschi,WORLD,Mondo,2020,37,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,M,Maschi,WORLD,Mondo,2021,58,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,M,Maschi,WORLD,Mondo,2022,40,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,M,Maschi,WORLD,Mondo,2023,1246,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,M,Maschi,WORLD,Mondo,2024,2601,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,F,Femmine,WORLD,Mondo,2015,273,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,F,Femmine,WORLD,Mondo,2016,253,,
