FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,Y_PRESENCE_DISABILITY,Presenza di disabilità,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2022,12356,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2023,27264,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2024,37005,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,9,Totale,2015,17504,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,9,Totale,2016,15944,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,9,Totale,2017,15497,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,9,Totale,2018,20676,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,9,Totale,2019,18946,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,9,Totale,2020,28276,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,9,Totale,2021,32017,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,9,Totale,2022,28567,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,9,Totale,2023,41235,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,9,Totale,2024,52166,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,0,No,2023,11,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,0,No,2024,14,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,1,Si,2023,68,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,1,Si,2024,28,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,2,Non indicato,2015,1,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,2,Non indicato,2019,2,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,2,Non indicato,2020,9,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,2,Non indicato,2021,11,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,2,Non indicato,2022,15,,
