FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,COMP_REASWITHDRAWAL,Denucia_motivo_ritiro,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2021,12,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2022,15,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2023,1403,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2024,1081,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT,Denuncia,2015,1135,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT,Denuncia,2016,1215,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT,Denuncia,2017,1184,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT,Denuncia,2018,1363,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT,Denuncia,2019,1310,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT,Denuncia,2020,1653,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT,Denuncia,2021,2184,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT,Denuncia,2022,1522,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT,Denuncia,2023,2037,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,REPORT,Denuncia,2024,2042,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,WITHDR_COMP,Ritira la denuncia,2015,296,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,WITHDR_COMP,Ritira la denuncia,2016,352,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,WITHDR_COMP,Ritira la denuncia,2017,259,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,WITHDR_COMP,Ritira la denuncia,2018,290,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,WITHDR_COMP,Ritira la denuncia,2019,282,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,WITHDR_COMP,Ritira la denuncia,2020,297,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,WITHDR_COMP,Ritira la denuncia,2021,383,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,WITHDR_COMP,Ritira la denuncia,2022,319,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,WITHDR_COMP,Ritira la denuncia,2023,286,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,WITHDR_COMP,Ritira la denuncia,2024,472,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NOREPORT,Non denuncia,2015,5920,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NOREPORT,Non denuncia,2016,5939,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NOREPORT,Non denuncia,2017,5718,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NOREPORT,Non denuncia,2018,6876,,
