territorio,tipologia_utenti,sesso,periodo,numero_vittime
nord est,da parenti/amici/conoscenti,femmine,2017,110
nord est,da parenti/amici/conoscenti,femmine,2018,117
nord est,da parenti/amici/conoscenti,femmine,2019,88
nord est,da parenti/amici/conoscenti,femmine,2020,158
nord est,da parenti/amici/conoscenti,femmine,2021,203
nord est,da parenti/amici/conoscenti,femmine,2022,124
nord est,da parenti/amici/conoscenti,femmine,2023,407
nord est,da parenti/amici/conoscenti,femmine,2024,610
nord est,da parenti/amici/conoscenti,non indicato,2023,1
nord est,da parenti/amici/conoscenti,non indicato,2024,4
nord est,altre chiamate valide,maschi,2015,9
nord est,altre chiamate valide,maschi,2016,3
nord est,altre chiamate valide,maschi,2017,3
nord est,altre chiamate valide,maschi,2018,6
nord est,altre chiamate valide,maschi,2019,8
nord est,altre chiamate valide,maschi,2020,3
nord est,altre chiamate valide,maschi,2021,9
nord est,altre chiamate valide,maschi,2022,7
nord est,altre chiamate valide,maschi,2023,111
nord est,altre chiamate valide,maschi,2024,190
nord est,altre chiamate valide,femmine,2015,39
nord est,altre chiamate valide,femmine,2016,27
nord est,altre chiamate valide,femmine,2017,41
nord est,altre chiamate valide,femmine,2018,49
nord est,altre chiamate valide,femmine,2019,26
nord est,altre chiamate valide,femmine,2020,24
nord est,altre chiamate valide,femmine,2021,35
nord est,altre chiamate valide,femmine,2022,35
nord est,altre chiamate valide,femmine,2023,887
nord est,altre chiamate valide,femmine,2024,1004
nord est,altre chiamate valide,non indicato,2023,1
nord est,altre chiamate valide,non indicato,2024,7
nord est,valore mancante,maschi,2023,5
nord est,valore mancante,femmine,2023,22
nord est,valore mancante,femmine,2024,3
trentino alto adige,utenti che chiamano per sè,maschi,2015,19
trentino alto adige,utenti che chiamano per sè,maschi,2016,9
trentino alto adige,utenti che chiamano per sè,maschi,2017,8
trentino alto adige,utenti che chiamano per sè,maschi,2018,8
trentino alto adige,utenti che chiamano per sè,maschi,2019,6
trentino alto adige,utenti che chiamano per sè,maschi,2020,35
trentino alto adige,utenti che chiamano per sè,maschi,2021,27
trentino alto adige,utenti che chiamano per sè,maschi,2022,23
trentino alto adige,utenti che chiamano per sè,maschi,2023,25
trentino alto adige,utenti che chiamano per sè,maschi,2024,15
