territorio,canale_segnalazione,sesso,orientamento_sessuale,periodo,numero_vittime
friuli venezia giulia,Utenti del 1522,maschi,altro o non indicato,2016,14
friuli venezia giulia,Utenti del 1522,maschi,altro o non indicato,2017,30
friuli venezia giulia,Utenti del 1522,maschi,altro o non indicato,2018,30
friuli venezia giulia,Utenti del 1522,maschi,altro o non indicato,2019,27
friuli venezia giulia,Utenti del 1522,maschi,altro o non indicato,2020,22
friuli venezia giulia,Utenti del 1522,maschi,altro o non indicato,2021,28
friuli venezia giulia,Utenti del 1522,maschi,altro o non indicato,2022,29
friuli venezia giulia,Utenti del 1522,femmine,omosessuale,2021,2
friuli venezia giulia,Utenti del 1522,femmine,transessuale,2018,1
friuli venezia giulia,Utenti del 1522,femmine,transessuale,2020,2
friuli venezia giulia,Utenti del 1522,femmine,transessuale,2021,1
friuli venezia giulia,Utenti del 1522,femmine,transessuale,2022,1
friuli venezia giulia,Utenti del 1522,femmine,missing,2023,438
friuli venezia giulia,Utenti del 1522,femmine,missing,2024,609
friuli venezia giulia,Utenti del 1522,femmine,altro o non indicato,2015,240
friuli venezia giulia,Utenti del 1522,femmine,altro o non indicato,2016,224
friuli venezia giulia,Utenti del 1522,femmine,altro o non indicato,2017,190
friuli venezia giulia,Utenti del 1522,femmine,altro o non indicato,2018,290
friuli venezia giulia,Utenti del 1522,femmine,altro o non indicato,2019,256
friuli venezia giulia,Utenti del 1522,femmine,altro o non indicato,2020,314
friuli venezia giulia,Utenti del 1522,femmine,altro o non indicato,2021,315
friuli venezia giulia,Utenti del 1522,femmine,altro o non indicato,2022,297
friuli venezia giulia,Utenti del 1522,non indicato,missing,2024,1
emilia romagna,Utenti del 1522,maschi,omosessuale,2016,4
emilia romagna,Utenti del 1522,maschi,omosessuale,2017,7
emilia romagna,Utenti del 1522,maschi,omosessuale,2018,2
emilia romagna,Utenti del 1522,maschi,omosessuale,2020,6
emilia romagna,Utenti del 1522,maschi,omosessuale,2021,3
emilia romagna,Utenti del 1522,maschi,omosessuale,2022,4
emilia romagna,Utenti del 1522,maschi,transessuale,2016,1
emilia romagna,Utenti del 1522,maschi,transessuale,2017,3
emilia romagna,Utenti del 1522,maschi,transessuale,2020,1
emilia romagna,Utenti del 1522,maschi,transessuale,2021,3
emilia romagna,Utenti del 1522,maschi,transessuale,2022,1
emilia romagna,Utenti del 1522,maschi,missing,2023,238
emilia romagna,Utenti del 1522,maschi,missing,2024,337
emilia romagna,Utenti del 1522,maschi,altro o non indicato,2015,102
emilia romagna,Utenti del 1522,maschi,altro o non indicato,2016,82
emilia romagna,Utenti del 1522,maschi,altro o non indicato,2017,72
emilia romagna,Utenti del 1522,maschi,altro o non indicato,2018,107
emilia romagna,Utenti del 1522,maschi,altro o non indicato,2019,120
emilia romagna,Utenti del 1522,maschi,altro o non indicato,2020,145
emilia romagna,Utenti del 1522,maschi,altro o non indicato,2021,161
emilia romagna,Utenti del 1522,maschi,altro o non indicato,2022,129
emilia romagna,Utenti del 1522,femmine,omosessuale,2015,2
emilia romagna,Utenti del 1522,femmine,omosessuale,2016,2
emilia romagna,Utenti del 1522,femmine,omosessuale,2017,4
emilia romagna,Utenti del 1522,femmine,omosessuale,2018,4
emilia romagna,Utenti del 1522,femmine,omosessuale,2020,8
emilia romagna,Utenti del 1522,femmine,omosessuale,2021,7
emilia romagna,Utenti del 1522,femmine,omosessuale,2022,4
emilia romagna,Utenti del 1522,femmine,transessuale,2015,3
emilia romagna,Utenti del 1522,femmine,transessuale,2016,2
emilia romagna,Utenti del 1522,femmine,transessuale,2017,2
emilia romagna,Utenti del 1522,femmine,transessuale,2018,2
emilia romagna,Utenti del 1522,femmine,transessuale,2020,11
emilia romagna,Utenti del 1522,femmine,transessuale,2021,10
emilia romagna,Utenti del 1522,femmine,transessuale,2022,4
emilia romagna,Utenti del 1522,femmine,missing,2023,2824
emilia romagna,Utenti del 1522,femmine,missing,2024,3326
emilia romagna,Utenti del 1522,femmine,altro o non indicato,2015,860
emilia romagna,Utenti del 1522,femmine,altro o non indicato,2016,790
emilia romagna,Utenti del 1522,femmine,altro o non indicato,2017,678
emilia romagna,Utenti del 1522,femmine,altro o non indicato,2018,987
emilia romagna,Utenti del 1522,femmine,altro o non indicato,2019,1005
emilia romagna,Utenti del 1522,femmine,altro o non indicato,2020,1438
emilia romagna,Utenti del 1522,femmine,altro o non indicato,2021,1486
emilia romagna,Utenti del 1522,femmine,altro o non indicato,2022,1446
emilia romagna,Utenti del 1522,non indicato,missing,2023,17
emilia romagna,Utenti del 1522,non indicato,missing,2024,11
centro,Utenti del 1522,maschi,omosessuale,2015,4
centro,Utenti del 1522,maschi,omosessuale,2016,7
