territorio,sesso,stato_denuncia,periodo,numero_vittime
nord ovest,non indicato,non disponibile,2023,50
nord ovest,non indicato,non disponibile,2024,39
piemonte,maschi,denuncia,2015,1
piemonte,maschi,denuncia,2016,4
piemonte,maschi,denuncia,2017,3
piemonte,maschi,denuncia,2019,3
piemonte,maschi,denuncia,2020,3
piemonte,maschi,denuncia,2021,5
piemonte,maschi,denuncia,2023,4
piemonte,maschi,ritira la denuncia,2016,1
piemonte,maschi,ritira la denuncia,2020,1
piemonte,maschi,ritira la denuncia,2023,1
piemonte,maschi,non denuncia,2015,21
piemonte,maschi,non denuncia,2016,13
piemonte,maschi,non denuncia,2017,18
piemonte,maschi,non denuncia,2018,10
piemonte,maschi,non denuncia,2019,11
piemonte,maschi,non denuncia,2020,19
piemonte,maschi,non denuncia,2021,19
piemonte,maschi,non denuncia,2022,9
piemonte,maschi,non denuncia,2023,14
piemonte,maschi,non denuncia,2024,22
piemonte,maschi,non risponde,2024,4
piemonte,maschi,non disponibile,2015,2
piemonte,maschi,non disponibile,2016,1
piemonte,maschi,non disponibile,2017,7
piemonte,maschi,non disponibile,2018,3
piemonte,maschi,non disponibile,2019,1
piemonte,maschi,non disponibile,2020,3
piemonte,maschi,non disponibile,2021,12
piemonte,maschi,non disponibile,2022,3
piemonte,femmine,denuncia,2015,84
piemonte,femmine,denuncia,2016,102
piemonte,femmine,denuncia,2017,82
piemonte,femmine,denuncia,2018,109
piemonte,femmine,denuncia,2019,98
piemonte,femmine,denuncia,2020,118
piemonte,femmine,denuncia,2021,154
piemonte,femmine,denuncia,2022,100
piemonte,femmine,denuncia,2023,118
piemonte,femmine,denuncia,2024,112
piemonte,femmine,ritira la denuncia,2015,29
piemonte,femmine,ritira la denuncia,2016,31
piemonte,femmine,ritira la denuncia,2017,23
piemonte,femmine,ritira la denuncia,2018,22
piemonte,femmine,ritira la denuncia,2019,25
piemonte,femmine,ritira la denuncia,2020,17
piemonte,femmine,ritira la denuncia,2021,31
piemonte,femmine,ritira la denuncia,2022,22
piemonte,femmine,ritira la denuncia,2023,16
piemonte,femmine,ritira la denuncia,2024,35
piemonte,femmine,non denuncia,2015,494
piemonte,femmine,non denuncia,2016,520
piemonte,femmine,non denuncia,2017,464
piemonte,femmine,non denuncia,2018,527
piemonte,femmine,non denuncia,2019,475
piemonte,femmine,non denuncia,2020,633
piemonte,femmine,non denuncia,2021,631
piemonte,femmine,non denuncia,2022,583
piemonte,femmine,non denuncia,2023,671
piemonte,femmine,non denuncia,2024,839
piemonte,femmine,non risponde,2015,4
piemonte,femmine,non risponde,2016,3
piemonte,femmine,non risponde,2017,3
piemonte,femmine,non risponde,2018,6
piemonte,femmine,non risponde,2020,7
piemonte,femmine,non risponde,2021,16
piemonte,femmine,non risponde,2022,6
piemonte,femmine,non risponde,2023,91
piemonte,femmine,non risponde,2024,75
piemonte,femmine,non disponibile,2015,34
piemonte,femmine,non disponibile,2016,28
piemonte,femmine,non disponibile,2017,51
piemonte,femmine,non disponibile,2018,45
piemonte,femmine,non disponibile,2019,34
piemonte,femmine,non disponibile,2020,210
piemonte,femmine,non disponibile,2021,120
piemonte,femmine,non disponibile,2022,36
piemonte,femmine,non disponibile,2023,15
piemonte,femmine,non disponibile,2024,15
piemonte,non indicato,denuncia,2023,3
piemonte,non indicato,non denuncia,2023,1
piemonte,non indicato,non risponde,2023,2
piemonte,non indicato,non risponde,2024,1
piemonte,non indicato,non disponibile,2023,12
piemonte,non indicato,non disponibile,2024,9
liguria,maschi,denuncia,2020,1
liguria,maschi,denuncia,2021,2
liguria,maschi,denuncia,2024,1
liguria,maschi,ritira la denuncia,2016,1
liguria,maschi,ritira la denuncia,2022,1
liguria,maschi,non denuncia,2015,6
liguria,maschi,non denuncia,2016,5
liguria,maschi,non denuncia,2017,5
liguria,maschi,non denuncia,2018,6
liguria,maschi,non denuncia,2019,4
liguria,maschi,non denuncia,2020,6
liguria,maschi,non denuncia,2021,5
