sesso,titolo_studio,imput_affermazione,grado_accordo,percentuale
maschi,laurea,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,4.3
maschi,laurea,Le donne serie non vengono violentate,molto_d_accordo,0.4
maschi,laurea,Le donne serie non vengono violentate,abbastanza_d_accordo,4.3
maschi,laurea,Le donne serie non vengono violentate,poco_d_accordo,9.3
maschi,laurea,Le donne serie non vengono violentate,per_niente_d_accordo,83.9
maschi,laurea,Le donne serie non vengono violentate,non_risponde,2.1
maschi,laurea,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.1
maschi,laurea,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,1.0
maschi,laurea,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,4.5
maschi,laurea,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,92.4
maschi,laurea,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,2.0
maschi,laurea,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,0.2
maschi,laurea,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,5.7
maschi,laurea,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,16.7
maschi,laurea,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,71.5
maschi,laurea,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,5.8
maschi,laurea,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,1.2
maschi,laurea,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,7.9
maschi,laurea,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,12.7
maschi,laurea,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,75.6
maschi,laurea,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,2.5
maschi,laurea,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,0.6
maschi,laurea,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,7.0
maschi,laurea,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,37.7
maschi,laurea,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,45.7
maschi,laurea,Spesso le accuse di violenza sessuale sono false,non_risponde,9.0
femmine,elementare_o_nessun_titolo,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,11.7
femmine,elementare_o_nessun_titolo,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,29.1
femmine,elementare_o_nessun_titolo,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,18.9
femmine,elementare_o_nessun_titolo,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,29.0
femmine,elementare_o_nessun_titolo,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,11.3
femmine,elementare_o_nessun_titolo,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,12.4
femmine,elementare_o_nessun_titolo,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,29.1
femmine,elementare_o_nessun_titolo,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,20.8
femmine,elementare_o_nessun_titolo,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,19.9
femmine,elementare_o_nessun_titolo,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,17.8
femmine,elementare_o_nessun_titolo,Le donne serie non vengono violentate,molto_d_accordo,6.4
femmine,elementare_o_nessun_titolo,Le donne serie non vengono violentate,abbastanza_d_accordo,8.8
femmine,elementare_o_nessun_titolo,Le donne serie non vengono violentate,poco_d_accordo,7.1
femmine,elementare_o_nessun_titolo,Le donne serie non vengono violentate,per_niente_d_accordo,65.7
femmine,elementare_o_nessun_titolo,Le donne serie non vengono violentate,non_risponde,12.1
femmine,elementare_o_nessun_titolo,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,1.6
femmine,elementare_o_nessun_titolo,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,2.7
femmine,elementare_o_nessun_titolo,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,5.8
femmine,elementare_o_nessun_titolo,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,77.3
femmine,elementare_o_nessun_titolo,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,12.6
femmine,elementare_o_nessun_titolo,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,3.0
femmine,elementare_o_nessun_titolo,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,6.8
femmine,elementare_o_nessun_titolo,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,12.2
femmine,elementare_o_nessun_titolo,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,49.4
femmine,elementare_o_nessun_titolo,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,28.7
femmine,elementare_o_nessun_titolo,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,6.1
femmine,elementare_o_nessun_titolo,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,17.6
femmine,elementare_o_nessun_titolo,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,12.9
femmine,elementare_o_nessun_titolo,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,48.1
femmine,elementare_o_nessun_titolo,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,15.3
femmine,elementare_o_nessun_titolo,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,1.7
femmine,elementare_o_nessun_titolo,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,9.7
femmine,elementare_o_nessun_titolo,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,25.5
femmine,elementare_o_nessun_titolo,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,41.3
femmine,elementare_o_nessun_titolo,Spesso le accuse di violenza sessuale sono false,non_risponde,21.9
femmine,media_inferiore,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,9.4
femmine,media_inferiore,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,20.6
femmine,media_inferiore,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,19.6
femmine,media_inferiore,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,44.8
femmine,media_inferiore,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,5.6
femmine,media_inferiore,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,12.9
femmine,media_inferiore,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,27.4
femmine,media_inferiore,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,23.8
femmine,media_inferiore,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,26.2
femmine,media_inferiore,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,9.6
femmine,media_inferiore,Le donne serie non vengono violentate,molto_d_accordo,2.4
femmine,media_inferiore,Le donne serie non vengono violentate,abbastanza_d_accordo,4.1
femmine,media_inferiore,Le donne serie non vengono violentate,poco_d_accordo,6.3
femmine,media_inferiore,Le donne serie non vengono violentate,per_niente_d_accordo,81.0
femmine,media_inferiore,Le donne serie non vengono violentate,non_risponde,6.2
femmine,media_inferiore,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.8
femmine,media_inferiore,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,1.7
