territorio,motivo_chiamata,sesso,nazionalità_utente,periodo,numero_vittime
italia,informazioni sul servizio 1522,maschi,estero,2019,26
italia,informazioni sul servizio 1522,maschi,estero,2020,19
italia,informazioni sul servizio 1522,maschi,estero,2021,42
italia,informazioni sul servizio 1522,maschi,estero,2022,51
italia,informazioni sul servizio 1522,maschi,estero,2023,49
italia,informazioni sul servizio 1522,maschi,estero,2024,82
italia,informazioni sul servizio 1522,maschi,italia,2015,424
italia,informazioni sul servizio 1522,maschi,italia,2016,318
italia,informazioni sul servizio 1522,maschi,italia,2017,592
italia,informazioni sul servizio 1522,maschi,italia,2018,1056
italia,informazioni sul servizio 1522,maschi,italia,2019,1198
italia,informazioni sul servizio 1522,maschi,italia,2020,1078
italia,informazioni sul servizio 1522,maschi,italia,2021,1581
italia,informazioni sul servizio 1522,maschi,italia,2022,1805
italia,informazioni sul servizio 1522,maschi,italia,2023,2715
italia,informazioni sul servizio 1522,maschi,italia,2024,3430
italia,informazioni sul servizio 1522,femmine,estero,2015,1564
italia,informazioni sul servizio 1522,femmine,estero,2016,1571
italia,informazioni sul servizio 1522,femmine,estero,2017,2011
italia,informazioni sul servizio 1522,femmine,estero,2018,3999
italia,informazioni sul servizio 1522,femmine,estero,2019,5660
italia,informazioni sul servizio 1522,femmine,estero,2020,5107
italia,informazioni sul servizio 1522,femmine,estero,2021,7736
italia,informazioni sul servizio 1522,femmine,estero,2022,8092
italia,informazioni sul servizio 1522,femmine,estero,2023,12265
italia,informazioni sul servizio 1522,femmine,estero,2024,15654
italia,informazioni sul servizio 1522,femmine,estero,2015,64
italia,informazioni sul servizio 1522,femmine,estero,2016,81
italia,informazioni sul servizio 1522,femmine,estero,2017,116
italia,informazioni sul servizio 1522,femmine,estero,2018,209
italia,informazioni sul servizio 1522,femmine,estero,2019,278
italia,informazioni sul servizio 1522,femmine,estero,2020,266
italia,informazioni sul servizio 1522,femmine,estero,2021,320
italia,informazioni sul servizio 1522,femmine,estero,2022,462
italia,informazioni sul servizio 1522,femmine,estero,2023,454
italia,informazioni sul servizio 1522,femmine,estero,2024,586
italia,informazioni sul servizio 1522,femmine,italia,2015,1500
italia,informazioni sul servizio 1522,femmine,italia,2016,1490
italia,informazioni sul servizio 1522,femmine,italia,2017,1895
italia,informazioni sul servizio 1522,femmine,italia,2018,3790
italia,informazioni sul servizio 1522,femmine,italia,2019,5382
italia,informazioni sul servizio 1522,femmine,italia,2020,4841
italia,informazioni sul servizio 1522,femmine,italia,2021,7416
italia,informazioni sul servizio 1522,femmine,italia,2022,7630
italia,informazioni sul servizio 1522,femmine,italia,2023,11811
italia,informazioni sul servizio 1522,femmine,italia,2024,15068
italia,informazioni sul servizio 1522,non indicato,estero,2023,2283
italia,informazioni sul servizio 1522,non indicato,estero,2024,2613
italia,informazioni sul servizio 1522,non indicato,estero,2023,9
italia,informazioni sul servizio 1522,non indicato,estero,2024,10
italia,informazioni sul servizio 1522,non indicato,italia,2023,1212
italia,informazioni sul servizio 1522,non indicato,italia,2024,909
italia,informazioni sul servizio 1522,non indicato,non indicato,2023,1062
italia,informazioni sul servizio 1522,non indicato,non indicato,2024,1694
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2015,514
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2016,361
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2017,415
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2018,389
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2019,306
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2020,337
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2021,353
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2022,325
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2023,500
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2024,712
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2015,13
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2016,6
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2017,9
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2018,6
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2019,4
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2020,9
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2021,3
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2022,4
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2023,7
italia,informazioni sui centri antiviolenza nazionali,maschi,estero,2024,8
italia,informazioni sui centri antiviolenza nazionali,maschi,italia,2015,501
italia,informazioni sui centri antiviolenza nazionali,maschi,italia,2016,355
italia,informazioni sui centri antiviolenza nazionali,maschi,italia,2017,406
italia,informazioni sui centri antiviolenza nazionali,maschi,italia,2018,383
italia,informazioni sui centri antiviolenza nazionali,maschi,italia,2019,302
italia,informazioni sui centri antiviolenza nazionali,maschi,italia,2020,328
italia,informazioni sui centri antiviolenza nazionali,maschi,italia,2021,350
italia,informazioni sui centri antiviolenza nazionali,maschi,italia,2022,321
italia,informazioni sui centri antiviolenza nazionali,maschi,italia,2023,493
italia,informazioni sui centri antiviolenza nazionali,maschi,italia,2024,704
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2015,6050
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2016,4819
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2017,3887
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2018,4157
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2019,3161
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2020,4615
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2021,4854
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2022,4392
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2023,5391
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2024,8270
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2015,336
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2016,277
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2017,305
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2018,271
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2019,250
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2020,317
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2021,273
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2022,274
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2023,337
italia,informazioni sui centri antiviolenza nazionali,femmine,estero,2024,497
italia,informazioni sui centri antiviolenza nazionali,femmine,italia,2015,5714
italia,informazioni sui centri antiviolenza nazionali,femmine,italia,2016,4542
italia,informazioni sui centri antiviolenza nazionali,femmine,italia,2017,3582
italia,informazioni sui centri antiviolenza nazionali,femmine,italia,2018,3886
italia,informazioni sui centri antiviolenza nazionali,femmine,italia,2019,2911
italia,informazioni sui centri antiviolenza nazionali,femmine,italia,2020,4298
italia,informazioni sui centri antiviolenza nazionali,femmine,italia,2021,4581
italia,informazioni sui centri antiviolenza nazionali,femmine,italia,2022,4118
italia,informazioni sui centri antiviolenza nazionali,femmine,italia,2023,5054
italia,informazioni sui centri antiviolenza nazionali,femmine,italia,2024,7773
italia,informazioni sui centri antiviolenza nazionali,non indicato,estero,2023,107
italia,informazioni sui centri antiviolenza nazionali,non indicato,estero,2024,113
italia,informazioni sui centri antiviolenza nazionali,non indicato,estero,2023,1
italia,informazioni sui centri antiviolenza nazionali,non indicato,estero,2024,2
italia,informazioni sui centri antiviolenza nazionali,non indicato,italia,2023,41
italia,informazioni sui centri antiviolenza nazionali,non indicato,italia,2024,49
italia,informazioni sui centri antiviolenza nazionali,non indicato,non indicato,2023,65
italia,informazioni sui centri antiviolenza nazionali,non indicato,non indicato,2024,62
italia,informazioni giuridiche,maschi,estero,2015,132
italia,informazioni giuridiche,maschi,estero,2016,94
italia,informazioni giuridiche,maschi,estero,2017,112
italia,informazioni giuridiche,maschi,estero,2018,143
italia,informazioni giuridiche,maschi,estero,2019,77
italia,informazioni giuridiche,maschi,estero,2020,101
italia,informazioni giuridiche,maschi,estero,2021,206
italia,informazioni giuridiche,maschi,estero,2022,127
italia,informazioni giuridiche,maschi,estero,2023,192
italia,informazioni giuridiche,maschi,estero,2024,403
italia,informazioni giuridiche,maschi,estero,2015,1
italia,informazioni giuridiche,maschi,estero,2017,2
italia,informazioni giuridiche,maschi,estero,2018,4
italia,informazioni giuridiche,maschi,estero,2020,3
italia,informazioni giuridiche,maschi,estero,2021,11
italia,informazioni giuridiche,maschi,estero,2022,6
italia,informazioni giuridiche,maschi,estero,2023,14
italia,informazioni giuridiche,maschi,estero,2024,12
italia,informazioni giuridiche,maschi,italia,2015,131
italia,informazioni giuridiche,maschi,italia,2016,94
italia,informazioni giuridiche,maschi,italia,2017,110
italia,informazioni giuridiche,maschi,italia,2018,139
italia,informazioni giuridiche,maschi,italia,2019,77
italia,informazioni giuridiche,maschi,italia,2020,98
italia,informazioni giuridiche,maschi,italia,2021,195
italia,informazioni giuridiche,maschi,italia,2022,121
italia,informazioni giuridiche,maschi,italia,2023,178
italia,informazioni giuridiche,maschi,italia,2024,391
italia,informazioni giuridiche,femmine,estero,2015,496
italia,informazioni giuridiche,femmine,estero,2016,546
italia,informazioni giuridiche,femmine,estero,2017,550
italia,informazioni giuridiche,femmine,estero,2018,791
italia,informazioni giuridiche,femmine,estero,2019,307
italia,informazioni giuridiche,femmine,estero,2020,458
italia,informazioni giuridiche,femmine,estero,2021,1001
italia,informazioni giuridiche,femmine,estero,2022,673
italia,informazioni giuridiche,femmine,estero,2023,943
