sesso,età,imput_affermazione,grado_accordo,percentuale
maschi,60-74,Le donne serie non vengono violentate,per_niente_d_accordo,70.4
maschi,60-74,Le donne serie non vengono violentate,non_risponde,10.8
maschi,60-74,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,1.4
maschi,60-74,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,1.8
maschi,60-74,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,4.2
maschi,60-74,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,82.1
maschi,60-74,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,10.5
maschi,60-74,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,2.5
maschi,60-74,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,9.6
maschi,60-74,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,16.6
maschi,60-74,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,52.0
maschi,60-74,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,19.4
maschi,60-74,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,5.2
maschi,60-74,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,13.7
maschi,60-74,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,12.7
maschi,60-74,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,57.4
maschi,60-74,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,10.9
maschi,60-74,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,2.5
maschi,60-74,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,12.2
maschi,60-74,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,30.9
maschi,60-74,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,37.7
maschi,60-74,Spesso le accuse di violenza sessuale sono false,non_risponde,16.7
femmine,18-29,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,5.4
femmine,18-29,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,10.4
femmine,18-29,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,15.5
femmine,18-29,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,65.3
femmine,18-29,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,3.3
femmine,18-29,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,11.3
femmine,18-29,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,21.1
femmine,18-29,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,29.7
femmine,18-29,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,32.3
femmine,18-29,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,5.5
femmine,18-29,Le donne serie non vengono violentate,molto_d_accordo,1.0
femmine,18-29,Le donne serie non vengono violentate,abbastanza_d_accordo,2.1
femmine,18-29,Le donne serie non vengono violentate,poco_d_accordo,9.6
femmine,18-29,Le donne serie non vengono violentate,per_niente_d_accordo,83.9
femmine,18-29,Le donne serie non vengono violentate,non_risponde,3.4
femmine,18-29,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.0
femmine,18-29,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,0.7
femmine,18-29,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,4.6
femmine,18-29,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,91.5
femmine,18-29,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,3.3
femmine,18-29,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,0.8
femmine,18-29,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,2.8
femmine,18-29,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,13.2
femmine,18-29,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,79.2
femmine,18-29,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,4.1
femmine,18-29,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,2.7
femmine,18-29,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,9.7
femmine,18-29,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,14.1
femmine,18-29,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,70.4
femmine,18-29,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,3.1
femmine,18-29,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,0.2
femmine,18-29,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,4.8
femmine,18-29,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,31.4
femmine,18-29,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,56.8
femmine,18-29,Spesso le accuse di violenza sessuale sono false,non_risponde,6.7
femmine,30-44,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,6.1
femmine,30-44,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,15.3
femmine,30-44,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,16.7
femmine,30-44,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,59.7
femmine,30-44,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,2.3
femmine,30-44,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,11.1
femmine,30-44,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,26.0
femmine,30-44,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,25.3
femmine,30-44,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,33.3
femmine,30-44,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,4.4
femmine,30-44,Le donne serie non vengono violentate,molto_d_accordo,0.7
femmine,30-44,Le donne serie non vengono violentate,abbastanza_d_accordo,2.5
femmine,30-44,Le donne serie non vengono violentate,poco_d_accordo,5.8
femmine,30-44,Le donne serie non vengono violentate,per_niente_d_accordo,88.4
femmine,30-44,Le donne serie non vengono violentate,non_risponde,2.6
femmine,30-44,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.6
femmine,30-44,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,0.7
femmine,30-44,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,4.5
femmine,30-44,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,91.5
femmine,30-44,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,2.7
femmine,30-44,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,0.8
femmine,30-44,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,4.0
femmine,30-44,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,11.1
femmine,30-44,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,78.5
femmine,30-44,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,5.6
femmine,30-44,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,3.1
femmine,30-44,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,10.3
femmine,30-44,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,12.8
femmine,30-44,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,70.4
femmine,30-44,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,3.4
femmine,30-44,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,1.0
femmine,30-44,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,6.2
femmine,30-44,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,30.2
femmine,30-44,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,56.8
femmine,30-44,Spesso le accuse di violenza sessuale sono false,non_risponde,5.7
femmine,45-59,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,7.3
femmine,45-59,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,16.0
femmine,45-59,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,20.8
femmine,45-59,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,51.5
femmine,45-59,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,4.3
femmine,45-59,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,11.8
femmine,45-59,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,25.6
femmine,45-59,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,24.7
femmine,45-59,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,30.7
femmine,45-59,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,7.1
femmine,45-59,Le donne serie non vengono violentate,molto_d_accordo,1.8
femmine,45-59,Le donne serie non vengono violentate,abbastanza_d_accordo,3.1
femmine,45-59,Le donne serie non vengono violentate,poco_d_accordo,7.1
femmine,45-59,Le donne serie non vengono violentate,per_niente_d_accordo,83.0
femmine,45-59,Le donne serie non vengono violentate,non_risponde,5.0
femmine,45-59,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.5
femmine,45-59,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,1.2
femmine,45-59,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,3.4
femmine,45-59,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,90.0
femmine,45-59,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,4.8
femmine,45-59,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,0.8
femmine,45-59,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,4.5
femmine,45-59,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,11.5
femmine,45-59,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,73.7
femmine,45-59,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,9.4
femmine,45-59,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,3.0
femmine,45-59,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,9.9
femmine,45-59,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,10.8
