territorio,sesso,imput_affermazione,grado_accordo,percentuale
piemonte,femmine,Le donne serie non vengono violentate,non_risponde,5.1
piemonte,femmine,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.7
piemonte,femmine,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,1.1
piemonte,femmine,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,2.3
piemonte,femmine,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,91.3
piemonte,femmine,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,4.5
piemonte,femmine,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,1.2
piemonte,femmine,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,4.0
piemonte,femmine,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,11.9
piemonte,femmine,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,73.4
piemonte,femmine,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,9.5
piemonte,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,2.2
piemonte,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,9.6
piemonte,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,14.9
piemonte,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,67.8
piemonte,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,5.6
piemonte,femmine,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,0.2
piemonte,femmine,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,10.1
