territorio,indicatore,sesso,presenza_disabilità,periodo,numero_vittime
nord est,Utenti del 1522,femmine,no,2016,1742
nord est,Utenti del 1522,femmine,no,2017,1690
nord est,Utenti del 1522,femmine,no,2018,2561
nord est,Utenti del 1522,femmine,no,2019,2661
nord est,Utenti del 1522,femmine,no,2020,2876
nord est,Utenti del 1522,femmine,no,2021,2363
nord est,Utenti del 1522,femmine,no,2022,2163
nord est,Utenti del 1522,femmine,no,2023,1248
nord est,Utenti del 1522,femmine,no,2024,2561
nord est,Utenti del 1522,femmine,si,2015,49
nord est,Utenti del 1522,femmine,si,2016,65
nord est,Utenti del 1522,femmine,si,2017,36
nord est,Utenti del 1522,femmine,si,2018,57
nord est,Utenti del 1522,femmine,si,2019,80
nord est,Utenti del 1522,femmine,si,2020,184
nord est,Utenti del 1522,femmine,si,2021,344
nord est,Utenti del 1522,femmine,si,2022,157
nord est,Utenti del 1522,femmine,si,2023,847
nord est,Utenti del 1522,femmine,si,2024,301
nord est,Utenti del 1522,femmine,non indicato,2015,244
nord est,Utenti del 1522,femmine,non indicato,2016,191
nord est,Utenti del 1522,femmine,non indicato,2017,130
nord est,Utenti del 1522,femmine,non indicato,2018,40
nord est,Utenti del 1522,femmine,non indicato,2019,35
nord est,Utenti del 1522,femmine,non indicato,2020,553
nord est,Utenti del 1522,femmine,non indicato,2021,1261
nord est,Utenti del 1522,femmine,non indicato,2022,1360
nord est,Utenti del 1522,femmine,non indicato,2023,3835
nord est,Utenti del 1522,femmine,non indicato,2024,4750
nord est,Utenti del 1522,non indicato,no,2024,6
nord est,Utenti del 1522,non indicato,si,2023,3
nord est,Utenti del 1522,non indicato,non indicato,2023,23
nord est,Utenti del 1522,non indicato,non indicato,2024,20
trentino alto adige,Utenti del 1522,maschi,no,2015,21
trentino alto adige,Utenti del 1522,maschi,no,2016,12
trentino alto adige,Utenti del 1522,maschi,no,2017,9
trentino alto adige,Utenti del 1522,maschi,no,2018,9
trentino alto adige,Utenti del 1522,maschi,no,2019,8
trentino alto adige,Utenti del 1522,maschi,no,2020,27
trentino alto adige,Utenti del 1522,maschi,no,2021,9
trentino alto adige,Utenti del 1522,maschi,no,2022,9
trentino alto adige,Utenti del 1522,maschi,no,2023,5
trentino alto adige,Utenti del 1522,maschi,no,2024,10
trentino alto adige,Utenti del 1522,maschi,si,2015,2
trentino alto adige,Utenti del 1522,maschi,si,2018,1
trentino alto adige,Utenti del 1522,maschi,si,2019,1
trentino alto adige,Utenti del 1522,maschi,si,2020,4
trentino alto adige,Utenti del 1522,maschi,si,2021,15
trentino alto adige,Utenti del 1522,maschi,si,2022,4
trentino alto adige,Utenti del 1522,maschi,si,2023,6
trentino alto adige,Utenti del 1522,maschi,si,2024,2
trentino alto adige,Utenti del 1522,maschi,non indicato,2015,2
trentino alto adige,Utenti del 1522,maschi,non indicato,2016,2
trentino alto adige,Utenti del 1522,maschi,non indicato,2017,3
trentino alto adige,Utenti del 1522,maschi,non indicato,2020,7
trentino alto adige,Utenti del 1522,maschi,non indicato,2021,7
trentino alto adige,Utenti del 1522,maschi,non indicato,2022,15
trentino alto adige,Utenti del 1522,maschi,non indicato,2023,51
trentino alto adige,Utenti del 1522,maschi,non indicato,2024,35
trentino alto adige,Utenti del 1522,femmine,no,2015,90
trentino alto adige,Utenti del 1522,femmine,no,2016,95
trentino alto adige,Utenti del 1522,femmine,no,2017,71
trentino alto adige,Utenti del 1522,femmine,no,2018,162
trentino alto adige,Utenti del 1522,femmine,no,2019,173
trentino alto adige,Utenti del 1522,femmine,no,2020,179
trentino alto adige,Utenti del 1522,femmine,no,2021,162
trentino alto adige,Utenti del 1522,femmine,no,2022,128
trentino alto adige,Utenti del 1522,femmine,no,2023,84
trentino alto adige,Utenti del 1522,femmine,no,2024,128
trentino alto adige,Utenti del 1522,femmine,si,2015,4
trentino alto adige,Utenti del 1522,femmine,si,2016,4
trentino alto adige,Utenti del 1522,femmine,si,2017,3
trentino alto adige,Utenti del 1522,femmine,si,2018,2
trentino alto adige,Utenti del 1522,femmine,si,2019,7
trentino alto adige,Utenti del 1522,femmine,si,2020,4
trentino alto adige,Utenti del 1522,femmine,si,2021,20
trentino alto adige,Utenti del 1522,femmine,si,2022,13
trentino alto adige,Utenti del 1522,femmine,si,2023,49
trentino alto adige,Utenti del 1522,femmine,si,2024,12
trentino alto adige,Utenti del 1522,femmine,non indicato,2015,20
trentino alto adige,Utenti del 1522,femmine,non indicato,2016,14
trentino alto adige,Utenti del 1522,femmine,non indicato,2017,5
trentino alto adige,Utenti del 1522,femmine,non indicato,2018,1
trentino alto adige,Utenti del 1522,femmine,non indicato,2019,1
trentino alto adige,Utenti del 1522,femmine,non indicato,2020,27
