territorio,sesso,tipo_violenza,periodo,numero_vittime
liguria,femmine,non risponde,2018,4
liguria,femmine,non risponde,2020,4
liguria,femmine,non risponde,2021,1
liguria,femmine,non risponde,2022,3
liguria,femmine,non risponde,2023,1
liguria,femmine,non disponibile,2015,7
liguria,femmine,non disponibile,2016,7
liguria,femmine,non disponibile,2017,3
liguria,femmine,non disponibile,2018,6
liguria,femmine,non disponibile,2019,5
liguria,femmine,non disponibile,2020,4
liguria,femmine,non disponibile,2021,7
liguria,femmine,non disponibile,2022,3
liguria,femmine,non disponibile,2023,4
liguria,femmine,non disponibile,2024,4
liguria,non indicato,violenza fisica,2023,2
liguria,non indicato,non disponibile,2023,4
liguria,non indicato,non disponibile,2024,3
lombardia,maschi,violenza fisica,2015,7
lombardia,maschi,violenza fisica,2016,8
lombardia,maschi,violenza fisica,2017,13
lombardia,maschi,violenza fisica,2018,13
lombardia,maschi,violenza fisica,2019,11
lombardia,maschi,violenza fisica,2020,20
lombardia,maschi,violenza fisica,2021,20
lombardia,maschi,violenza fisica,2022,8
lombardia,maschi,violenza fisica,2023,22
lombardia,maschi,violenza fisica,2024,20
lombardia,maschi,violenza sessuale,2015,3
lombardia,maschi,violenza sessuale,2016,4
lombardia,maschi,violenza sessuale,2017,6
lombardia,maschi,violenza sessuale,2018,5
lombardia,maschi,violenza sessuale,2019,6
lombardia,maschi,violenza sessuale,2020,6
lombardia,maschi,violenza sessuale,2021,16
lombardia,maschi,violenza sessuale,2022,4
lombardia,maschi,violenza sessuale,2023,5
lombardia,maschi,violenza sessuale,2024,2
lombardia,maschi,minacce,2015,4
lombardia,maschi,minacce,2016,5
lombardia,maschi,minacce,2017,4
lombardia,maschi,minacce,2018,1
lombardia,maschi,minacce,2019,1
lombardia,maschi,minacce,2020,3
lombardia,maschi,minacce,2021,6
lombardia,maschi,minacce,2022,3
lombardia,maschi,minacce,2023,2
lombardia,maschi,minacce,2024,1
lombardia,maschi,mobbing,2017,1
lombardia,maschi,mobbing,2018,1
lombardia,maschi,mobbing,2021,1
lombardia,maschi,diffusione illecita di immagini o di video sessualmente espliciti,2023,2
lombardia,maschi,violenza psicologica,2015,21
lombardia,maschi,violenza psicologica,2016,19
lombardia,maschi,violenza psicologica,2017,10
lombardia,maschi,violenza psicologica,2018,17
lombardia,maschi,violenza psicologica,2019,14
lombardia,maschi,violenza psicologica,2020,27
lombardia,maschi,violenza psicologica,2021,13
lombardia,maschi,violenza psicologica,2022,10
lombardia,maschi,violenza psicologica,2023,21
lombardia,maschi,violenza psicologica,2024,21
lombardia,maschi,violenza economica,2020,1
lombardia,maschi,violenza economica,2023,1
lombardia,maschi,violenza economica,2024,1
lombardia,maschi,atti persecutori/stalking,2023,13
lombardia,maschi,atti persecutori/stalking,2024,9
lombardia,maschi,altro,2023,2
lombardia,maschi,non risponde,2015,3
lombardia,maschi,non risponde,2016,3
lombardia,maschi,non risponde,2017,1
