sesso,titolo_studio,imput_affermazione,grado_accordo,percentuale
femmine,elementare_o_nessun_titolo,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",molto_d_accordo,17.4
femmine,elementare_o_nessun_titolo,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",abbastanza_d_accordo,27.9
femmine,elementare_o_nessun_titolo,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",poco_d_accordo,11.0
femmine,elementare_o_nessun_titolo,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",per_niente_d_accordo,39.3
femmine,elementare_o_nessun_titolo,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",non_risponde,4.4
femmine,media_inferiore,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",molto_d_accordo,6.3
femmine,media_inferiore,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",abbastanza_d_accordo,14.8
femmine,media_inferiore,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",poco_d_accordo,16.4
femmine,media_inferiore,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",per_niente_d_accordo,61.8
femmine,media_inferiore,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",non_risponde,0.8
femmine,media_inferiore,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,molto_d_accordo,10.2
femmine,media_inferiore,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,abbastanza_d_accordo,22.3
femmine,media_inferiore,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,poco_d_accordo,17.2
femmine,media_inferiore,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,per_niente_d_accordo,49.7
femmine,media_inferiore,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,non_risponde,0.6
femmine,media_inferiore,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,molto_d_accordo,3.3
femmine,media_inferiore,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,abbastanza_d_accordo,6.1
femmine,media_inferiore,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,poco_d_accordo,11.6
femmine,media_inferiore,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,per_niente_d_accordo,78.5
femmine,media_inferiore,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,non_risponde,0.4
femmine,media_inferiore,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,molto_d_accordo,13.9
femmine,media_inferiore,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,abbastanza_d_accordo,23.9
femmine,media_inferiore,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,poco_d_accordo,19.2
femmine,media_inferiore,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,per_niente_d_accordo,42.2
femmine,media_inferiore,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,non_risponde,0.7
femmine,media_inferiore,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",molto_d_accordo,12.1
femmine,media_inferiore,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",abbastanza_d_accordo,25.0
femmine,media_inferiore,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",poco_d_accordo,14.7
femmine,media_inferiore,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",per_niente_d_accordo,47.0
femmine,media_inferiore,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",non_risponde,1.2
femmine,diploma_o_equivalente,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",molto_d_accordo,2.9
femmine,diploma_o_equivalente,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",abbastanza_d_accordo,9.5
femmine,diploma_o_equivalente,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",poco_d_accordo,10.9
femmine,diploma_o_equivalente,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",per_niente_d_accordo,76.2
femmine,diploma_o_equivalente,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",non_risponde,0.4
femmine,diploma_o_equivalente,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,molto_d_accordo,4.5
femmine,diploma_o_equivalente,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,abbastanza_d_accordo,13.6
