territorio,sesso,motivo_chiamata,periodo,numero_vittime
nord ovest,maschi,richiesta di aiuto vittima di violenza,2017,38
nord ovest,maschi,richiesta di aiuto vittima di violenza,2018,29
nord ovest,maschi,richiesta di aiuto vittima di violenza,2019,34
nord ovest,maschi,richiesta di aiuto vittima di violenza,2020,58
nord ovest,maschi,richiesta di aiuto vittima di violenza,2021,59
nord ovest,maschi,richiesta di aiuto vittima di violenza,2022,25
nord ovest,maschi,richiesta di aiuto vittima di violenza,2023,50
nord ovest,maschi,richiesta di aiuto vittima di violenza,2024,46
nord ovest,maschi,richiesta di aiuto per discriminazione,2020,1
nord ovest,maschi,richiesta di aiuto per discriminazione,2022,1
nord ovest,maschi,segnalazione di un caso di violenza,2015,10
nord ovest,maschi,segnalazione di un caso di violenza,2016,10
nord ovest,maschi,segnalazione di un caso di violenza,2017,12
nord ovest,maschi,segnalazione di un caso di violenza,2018,15
nord ovest,maschi,segnalazione di un caso di violenza,2019,8
nord ovest,maschi,segnalazione di un caso di violenza,2020,22
nord ovest,maschi,segnalazione di un caso di violenza,2021,18
nord ovest,maschi,segnalazione di un caso di violenza,2022,9
nord ovest,maschi,segnalazione di un caso di violenza,2023,24
nord ovest,maschi,segnalazione di un caso di violenza,2024,18
nord ovest,maschi,emergenza,2015,1
nord ovest,maschi,emergenza,2017,4
nord ovest,maschi,emergenza,2018,1
nord ovest,maschi,emergenza,2019,2
nord ovest,maschi,emergenza,2020,1
nord ovest,maschi,emergenza,2022,1
nord ovest,femmine,richiesta di aiuto vittima di stalking,2015,263
nord ovest,femmine,richiesta di aiuto vittima di stalking,2016,222
nord ovest,femmine,richiesta di aiuto vittima di stalking,2017,208
nord ovest,femmine,richiesta di aiuto vittima di stalking,2018,242
nord ovest,femmine,richiesta di aiuto vittima di stalking,2019,212
nord ovest,femmine,richiesta di aiuto vittima di stalking,2020,296
nord ovest,femmine,richiesta di aiuto vittima di stalking,2021,297
nord ovest,femmine,richiesta di aiuto vittima di stalking,2022,258
nord ovest,femmine,richiesta di aiuto vittima di stalking,2023,330
nord ovest,femmine,richiesta di aiuto vittima di stalking,2024,534
nord ovest,femmine,richiesta di aiuto vittima di violenza,2015,1357
nord ovest,femmine,richiesta di aiuto vittima di violenza,2016,1473
nord ovest,femmine,richiesta di aiuto vittima di violenza,2017,1395
nord ovest,femmine,richiesta di aiuto vittima di violenza,2018,1689
nord ovest,femmine,richiesta di aiuto vittima di violenza,2019,1616
nord ovest,femmine,richiesta di aiuto vittima di violenza,2020,2630
nord ovest,femmine,richiesta di aiuto vittima di violenza,2021,2612
nord ovest,femmine,richiesta di aiuto vittima di violenza,2022,2135
nord ovest,femmine,richiesta di aiuto vittima di violenza,2023,2536
nord ovest,femmine,richiesta di aiuto vittima di violenza,2024,3322
nord ovest,femmine,richiesta di aiuto per discriminazione,2021,2
nord ovest,femmine,segnalazione di un caso di violenza,2015,410
nord ovest,femmine,segnalazione di un caso di violenza,2016,506
nord ovest,femmine,segnalazione di un caso di violenza,2017,436
nord ovest,femmine,segnalazione di un caso di violenza,2018,351
nord ovest,femmine,segnalazione di un caso di violenza,2019,299
nord ovest,femmine,segnalazione di un caso di violenza,2020,616
nord ovest,femmine,segnalazione di un caso di violenza,2021,606
nord ovest,femmine,segnalazione di un caso di violenza,2022,397
nord ovest,femmine,segnalazione di un caso di violenza,2023,518
nord ovest,femmine,segnalazione di un caso di violenza,2024,479
nord ovest,femmine,emergenza,2015,47
nord ovest,femmine,emergenza,2016,12
nord ovest,femmine,emergenza,2017,36
nord ovest,femmine,emergenza,2018,38
nord ovest,femmine,emergenza,2019,32
nord ovest,femmine,emergenza,2020,30
nord ovest,femmine,emergenza,2021,15
nord ovest,femmine,emergenza,2022,4
nord ovest,non indicato,richiesta di aiuto vittima di stalking,2023,5
nord ovest,non indicato,richiesta di aiuto vittima di stalking,2024,8
nord ovest,non indicato,richiesta di aiuto vittima di violenza,2023,36
nord ovest,non indicato,richiesta di aiuto vittima di violenza,2024,32
nord ovest,non indicato,segnalazione di un caso di violenza,2023,18
nord ovest,non indicato,segnalazione di un caso di violenza,2024,1
nord ovest,non indicato,emergenza,2023,11
nord ovest,non indicato,emergenza,2024,9
piemonte,maschi,richiesta di aiuto vittima di stalking,2015,9
piemonte,maschi,richiesta di aiuto vittima di stalking,2016,6
piemonte,maschi,richiesta di aiuto vittima di stalking,2017,2
piemonte,maschi,richiesta di aiuto vittima di stalking,2018,1
piemonte,maschi,richiesta di aiuto vittima di stalking,2019,3
piemonte,maschi,richiesta di aiuto vittima di stalking,2020,6
piemonte,maschi,richiesta di aiuto vittima di stalking,2021,5
piemonte,maschi,richiesta di aiuto vittima di stalking,2022,2
piemonte,maschi,richiesta di aiuto vittima di stalking,2023,3
piemonte,maschi,richiesta di aiuto vittima di stalking,2024,9
piemonte,maschi,richiesta di aiuto vittima di violenza,2015,13
piemonte,maschi,richiesta di aiuto vittima di violenza,2016,10
piemonte,maschi,richiesta di aiuto vittima di violenza,2017,20
piemonte,maschi,richiesta di aiuto vittima di violenza,2018,9
piemonte,maschi,richiesta di aiuto vittima di violenza,2019,10
