territorio,sesso,stato_civile,periodo,numero_vittime
piemonte,femmine,separat,2015,83
piemonte,femmine,separat,2016,78
piemonte,femmine,separat,2017,76
piemonte,femmine,separat,2018,81
piemonte,femmine,separat,2019,69
piemonte,femmine,separat,2020,98
piemonte,femmine,separat,2021,97
piemonte,femmine,separat,2022,65
piemonte,femmine,separat,2023,83
piemonte,femmine,separat,2024,115
piemonte,femmine,coniugat,2015,283
piemonte,femmine,coniugat,2016,339
piemonte,femmine,coniugat,2017,263
piemonte,femmine,coniugat,2018,320
piemonte,femmine,coniugat,2019,270
piemonte,femmine,coniugat,2020,401
piemonte,femmine,coniugat,2021,342
piemonte,femmine,coniugat,2022,266
piemonte,femmine,coniugat,2023,320
piemonte,femmine,coniugat,2024,376
piemonte,femmine,divorziat,2015,42
piemonte,femmine,divorziat,2016,36
piemonte,femmine,divorziat,2017,44
piemonte,femmine,divorziat,2018,43
piemonte,femmine,divorziat,2019,33
piemonte,femmine,divorziat,2020,33
piemonte,femmine,divorziat,2021,21
piemonte,femmine,divorziat,2022,22
piemonte,femmine,divorziat,2023,39
piemonte,femmine,divorziat,2024,47
piemonte,femmine,vedov,2015,29
piemonte,femmine,vedov,2016,14
piemonte,femmine,vedov,2017,25
piemonte,femmine,vedov,2018,33
piemonte,femmine,vedov,2019,15
piemonte,femmine,vedov,2020,39
piemonte,femmine,vedov,2021,22
piemonte,femmine,vedov,2022,18
piemonte,femmine,vedov,2023,22
piemonte,femmine,vedov,2024,30
piemonte,femmine,non indicato,2015,6
piemonte,femmine,non indicato,2016,5
piemonte,femmine,non indicato,2017,4
piemonte,femmine,non indicato,2018,5
piemonte,femmine,non indicato,2019,5
piemonte,femmine,non indicato,2020,53
piemonte,femmine,non indicato,2021,60
piemonte,femmine,non indicato,2022,30
piemonte,femmine,non indicato,2023,45
piemonte,femmine,non indicato,2024,37
piemonte,femmine,non disponibile,2015,23
piemonte,femmine,non disponibile,2016,5
piemonte,femmine,non disponibile,2017,13
piemonte,femmine,non disponibile,2018,18
piemonte,femmine,non disponibile,2019,16
piemonte,femmine,non disponibile,2020,24
piemonte,femmine,non disponibile,2021,11
piemonte,femmine,non disponibile,2022,11
piemonte,non indicato,single,2023,3
piemonte,non indicato,single,2024,1
piemonte,non indicato,coniugat,2023,1
piemonte,non indicato,non indicato,2023,2
piemonte,non indicato,non disponibile,2023,12
piemonte,non indicato,non disponibile,2024,9
valle d'aosta,maschi,single,2022,1
valle d'aosta,maschi,single,2024,1
valle d'aosta,maschi,separat,2024,1
valle d'aosta,maschi,coniugat,2017,1
valle d'aosta,maschi,coniugat,2018,1
valle d'aosta,maschi,coniugat,2022,1
valle d'aosta,femmine,single,2015,3
valle d'aosta,femmine,single,2016,6
valle d'aosta,femmine,single,2017,4
valle d'aosta,femmine,single,2018,3
valle d'aosta,femmine,single,2019,1
valle d'aosta,femmine,single,2020,5
