territorio,sesso,nazionalità_utente,modalità_intervento,periodo,numero_vittime
italia,femmine,estero,chiamate valide,2022,2276
italia,femmine,estero,chiamate valide,2023,2634
italia,femmine,estero,chiamate valide,2024,3100
italia,femmine,estero,richiesto intervento del 118,2015,4
italia,femmine,estero,richiesto intervento del 118,2016,1
italia,femmine,estero,richiesto intervento del 118,2017,1
italia,femmine,estero,richiesto intervento del 118,2018,1
italia,femmine,estero,richiesto intervento del 118,2019,3
italia,femmine,estero,richiesto intervento del 118,2023,1
italia,femmine,estero,richiesto intervento del 118,2024,6
italia,femmine,estero,richiesto intervento del 112,2015,23
italia,femmine,estero,richiesto intervento del 112,2016,9
italia,femmine,estero,richiesto intervento del 112,2017,29
italia,femmine,estero,richiesto intervento del 112,2018,29
italia,femmine,estero,richiesto intervento del 112,2019,12
italia,femmine,estero,richiesto intervento del 112,2020,11
italia,femmine,estero,richiesto intervento del 112,2021,9
italia,femmine,estero,richiesto intervento del 112,2022,1
italia,femmine,estero,richiesto intervento del 112,2023,126
italia,femmine,estero,richiesto intervento del 112,2024,217
italia,femmine,estero,richiesto intervento del 113,2015,18
italia,femmine,estero,richiesto intervento del 113,2016,8
italia,femmine,estero,richiesto intervento del 113,2017,26
italia,femmine,estero,richiesto intervento del 113,2018,26
italia,femmine,estero,richiesto intervento del 113,2019,8
italia,femmine,estero,richiesto intervento del 113,2020,1
italia,femmine,estero,richiesto intervento del 113,2021,5
italia,femmine,estero,richiesto intervento del 113,2023,133
italia,femmine,estero,richiesto intervento del 113,2024,229
italia,femmine,italia,trasferito servizio,2015,12713
italia,femmine,italia,trasferito servizio,2016,11580
italia,femmine,italia,trasferito servizio,2017,10299
italia,femmine,italia,trasferito servizio,2018,11836
italia,femmine,italia,trasferito servizio,2019,10343
italia,femmine,italia,trasferito servizio,2020,16147
italia,femmine,italia,trasferito servizio,2021,14712
italia,femmine,italia,trasferito servizio,2022,11503
italia,femmine,italia,trasferito servizio,2023,17440
italia,femmine,italia,trasferito servizio,2024,25042
italia,femmine,italia,non trasferito servizio,2015,3274
italia,femmine,italia,non trasferito servizio,2016,2953
italia,femmine,italia,non trasferito servizio,2017,3700
italia,femmine,italia,non trasferito servizio,2018,7113
italia,femmine,italia,non trasferito servizio,2019,6796
italia,femmine,italia,non trasferito servizio,2020,9878
italia,femmine,italia,non trasferito servizio,2021,15055
italia,femmine,italia,non trasferito servizio,2022,14785
italia,femmine,italia,non trasferito servizio,2023,21161
italia,femmine,italia,non trasferito servizio,2024,24024
italia,femmine,italia,chiamate valide,2015,15987
italia,femmine,italia,chiamate valide,2016,14533
italia,femmine,italia,chiamate valide,2017,13999
italia,femmine,italia,chiamate valide,2018,18949
italia,femmine,italia,chiamate valide,2019,17139
italia,femmine,italia,chiamate valide,2020,26025
italia,femmine,italia,chiamate valide,2021,29767
italia,femmine,italia,chiamate valide,2022,26288
italia,femmine,italia,chiamate valide,2023,38601
italia,femmine,italia,chiamate valide,2024,49066
italia,femmine,italia,richiesto intervento del 118,2015,18
italia,femmine,italia,richiesto intervento del 118,2016,10
italia,femmine,italia,richiesto intervento del 118,2017,18
italia,femmine,italia,richiesto intervento del 118,2018,13
italia,femmine,italia,richiesto intervento del 118,2019,18
italia,femmine,italia,richiesto intervento del 118,2020,5
italia,femmine,italia,richiesto intervento del 118,2021,3
italia,femmine,italia,richiesto intervento del 118,2022,1
italia,femmine,italia,richiesto intervento del 118,2023,80
italia,femmine,italia,richiesto intervento del 118,2024,149
