territorio,sesso,età,periodo,numero_vittime
liguria,maschi,45-54 anni,2016,2
liguria,maschi,45-54 anni,2017,2
liguria,maschi,45-54 anni,2018,3
liguria,maschi,45-54 anni,2019,1
liguria,maschi,45-54 anni,2020,2
liguria,maschi,45-54 anni,2021,1
liguria,maschi,45-54 anni,2022,1
liguria,maschi,45-54 anni,2024,1
liguria,maschi,55-64 anni,2015,1
liguria,maschi,55-64 anni,2016,1
liguria,maschi,55-64 anni,2017,2
liguria,maschi,55-64 anni,2019,1
liguria,maschi,55-64 anni,2021,1
liguria,maschi,55-64 anni,2023,1
liguria,maschi,65 anni e più,2015,1
liguria,maschi,65 anni e più,2019,1
liguria,maschi,65 anni e più,2020,1
liguria,maschi,65 anni e più,2024,2
liguria,maschi,non disponibile,2019,1
liguria,maschi,non disponibile,2020,5
liguria,maschi,non disponibile,2021,2
liguria,maschi,non disponibile,2023,1
liguria,maschi,non disponibile,2024,2
liguria,femmine,non indicato,2015,1
liguria,femmine,non indicato,2016,1
liguria,femmine,non indicato,2017,2
liguria,femmine,non indicato,2020,1
liguria,femmine,non indicato,2021,4
liguria,femmine,non indicato,2022,3
liguria,femmine,non indicato,2023,16
liguria,femmine,non indicato,2024,13
liguria,femmine,fino a 17 anni,2015,2
liguria,femmine,fino a 17 anni,2016,2
liguria,femmine,fino a 17 anni,2019,2
liguria,femmine,fino a 17 anni,2020,4
liguria,femmine,fino a 17 anni,2021,7
liguria,femmine,fino a 17 anni,2022,3
liguria,femmine,fino a 17 anni,2023,9
liguria,femmine,fino a 17 anni,2024,5
liguria,femmine,18-24 anni,2015,21
liguria,femmine,18-24 anni,2016,17
liguria,femmine,18-24 anni,2017,13
liguria,femmine,18-24 anni,2018,8
liguria,femmine,18-24 anni,2019,20
liguria,femmine,18-24 anni,2020,22
liguria,femmine,18-24 anni,2021,21
liguria,femmine,18-24 anni,2022,22
liguria,femmine,18-24 anni,2023,17
liguria,femmine,18-24 anni,2024,27
liguria,femmine,25-34 anni,2015,26
liguria,femmine,25-34 anni,2016,28
liguria,femmine,25-34 anni,2017,40
liguria,femmine,25-34 anni,2018,29
liguria,femmine,25-34 anni,2019,36
liguria,femmine,25-34 anni,2020,54
liguria,femmine,25-34 anni,2021,46
liguria,femmine,25-34 anni,2022,47
liguria,femmine,25-34 anni,2023,38
liguria,femmine,25-34 anni,2024,38
liguria,femmine,35-44 anni,2015,39
liguria,femmine,35-44 anni,2016,53
liguria,femmine,35-44 anni,2017,41
liguria,femmine,35-44 anni,2018,44
liguria,femmine,35-44 anni,2019,41
liguria,femmine,35-44 anni,2020,56
liguria,femmine,35-44 anni,2021,44
liguria,femmine,35-44 anni,2022,49
liguria,femmine,35-44 anni,2023,55
liguria,femmine,35-44 anni,2024,69
liguria,femmine,45-54 anni,2015,43
liguria,femmine,45-54 anni,2016,40
liguria,femmine,45-54 anni,2017,45
liguria,femmine,45-54 anni,2018,62
liguria,femmine,45-54 anni,2019,46
liguria,femmine,45-54 anni,2020,54
liguria,femmine,45-54 anni,2021,52
liguria,femmine,45-54 anni,2022,59
liguria,femmine,45-54 anni,2023,49
liguria,femmine,45-54 anni,2024,54
liguria,femmine,55-64 anni,2015,39
liguria,femmine,55-64 anni,2016,30
liguria,femmine,55-64 anni,2017,14
liguria,femmine,55-64 anni,2018,36
liguria,femmine,55-64 anni,2019,21
liguria,femmine,55-64 anni,2020,30
liguria,femmine,55-64 anni,2021,29
liguria,femmine,55-64 anni,2022,31
liguria,femmine,55-64 anni,2023,30
liguria,femmine,55-64 anni,2024,14
liguria,femmine,65 anni e più,2015,23
liguria,femmine,65 anni e più,2016,28
liguria,femmine,65 anni e più,2017,21
liguria,femmine,65 anni e più,2018,30
liguria,femmine,65 anni e più,2019,15
liguria,femmine,65 anni e più,2020,40
liguria,femmine,65 anni e più,2021,37
liguria,femmine,65 anni e più,2022,12
liguria,femmine,65 anni e più,2023,31
liguria,femmine,65 anni e più,2024,36
liguria,femmine,non disponibile,2015,11
liguria,femmine,non disponibile,2016,10
liguria,femmine,non disponibile,2017,7
liguria,femmine,non disponibile,2018,19
